county,fips,cdr_zone,model_region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Anderson,48001,east,1_dallas,52118,52121,52209,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58498,58404,58074,57982,57846,57665,57595,58232,58138,57816,57881,58402
Andrews,48003,far west,14_midland,13945,14047,13738,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14849,15387,16102,16774,17424,18058,17775,17599,18063,18821,18612,18440
Angelina,48005,east,1_dallas,76334,77290,77587,80270,80273,80803,81510,82070,82553,83810,84518,84961,86029,86905,87299,87511,87317,87575,87837,87661,87523,86854,86761,86345,86506
Aransas,48007,south,7_delrio,22480,22819,23129,22452,22287,22616,22843,23067,23561,23395,23172,23225,23291,23189,23222,23466,23893,24573,24812,25216,25421,23283,23364,23916,24510
Archer,48009,north,11_wichitafalls,8213,8282,8256,8966,8849,8942,9013,9078,9068,9063,9026,9104,9023,9118,8840,8815,8799,8842,8762,8780,8788,8778,8692,8557,8681
Armstrong,48011,non-load,12_amarillo,2186,2156,2196,2166,2128,2036,2001,2023,2037,1989,1936,1936,1911,1902,1936,1953,1940,1914,1901,1838,1866,1859,1853,1847,1839
Atascosa,48013,south,2_sanantonio,35344,36389,37442,38805,39828,40767,41306,42109,42495,43059,43611,43947,44623,44964,45506,46444,47029,47730,48382,48689,49094,50325,51140,49089,49939
Austin,48015,south central,2_sanantonio,22957,23401,23843,23836,24341,24818,25388,25976,26331,26828,27454,27935,28254,28372,28612,28572,28690,28975,29477,29650,29729,30000,30107,30109,30380
Bailey,48017,none,none,6773,6846,6717,6596,6636,6637,6791,6945,7024,7001,6927,6979,7050,7154,7175,7139,7123,6962,7219,7138,6987,6901,6859,6859,6835
Bandera,48019,south central,2_sanantonio,14946,15816,16611,17755,18125,18652,19044,19226,19428,19775,20254,20407,20365,20546,20526,20579,20543,20800,21127,21678,22312,22816,23181,20987,21565
Bastrop,48021,south central,2_sanantonio,48834,50438,52561,58234,61106,63508,65825,67122,68233,69720,71348,72389,73587,74381,75058,74745,75809,77726,80109,82642,84624,86590,88737,97983,102058
Baylor,48023,north,11_wichitafalls,4155,4157,4088,4135,3930,3897,3941,3955,3877,3870,3905,3747,3726,3708,3696,3593,3581,3569,3610,3636,3554,3565,3525,3464,3477
Bee,48025,south,4_corpuschristi,27918,27739,27534,32200,31695,31804,32620,32352,32101,31977,31936,31814,31864,31862,32316,32486,32811,32847,32620,32823,32598,32494,32618,30990,30924
Bell,48027,north central,2_sanantonio,221643,223167,222687,239890,244299,249671,252922,258138,266017,273771,287752,297873,301050,312886,315915,325138,327254,330436,336434,341477,347683,355722,363693,371981,379617
Bexar,48029,south central,2_sanantonio,1336027,1354837,1372867,1398834,1419020,1446755,1469623,1500919,1529270,1573935,1615210,1651709,1685628,1722841,1755360,1788768,1821354,1857977,1894811,1927409,1956394,1981061,2002445,2014052,2028236
