Hour,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
1,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
2,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
3,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
4,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
5,0,364,727,1091,1455,1818,2182,2545,2909,3273,3636,4000,4364,4727,5091,5455,5818,6182,6545,6909,7273,7636,8000,8364,8727,9091,9455,9818,10182,10545,10909,11273,11636,12000,12364,12727
6,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
7,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
8,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
9,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
10,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
11,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
12,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
13,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
14,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
15,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
16,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
17,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
18,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
19,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
20,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
21,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
22,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
23,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
24,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
25,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
26,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
27,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
28,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
